0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,y,y,y,y,y,y,y,y,y,y,y,y,y,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,y,y,y,y,y,p,p,p,y,y,y,y,y,r,a,a,a,a,a,a,r
r,r,r,r,r,r,r,r,y,y,y,y,y,p,p,p,y,y,y,y,y,r,r,r,r,r,r,r,r
r,a,a,a,a,a,a,r,y,y,y,y,y,p,p,p,y,y,y,y,y,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,y,y,y,y,y,y,y,y,y,y,y,y,y,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,a,a,a,a,a,a,r,p,p,p,p,y,y,y,y,y,p,p,p,p,r,a,a,a,a,a,a,r
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,g,g,g,g,g,g,r,a,a,a,a,a,a,r,a,a,a,a,a,a,r,g,g,g,g,g,g,r
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
