traditional,simplified,referenced-traditional,referenced-simplified,pinyin-numeric,pinyin-diacritic,definitions,definitions-diacritic
㪚,散,㪚,散,san4,sàn,variant of 散[san4],variant of 散[sàn]
㪟,敦,㪟,敦,dun1,dūn,variant of 敦[dun1],variant of 敦[dūn]
㴱,深,㴱,深,shen1,shēn,old variant of 深[shen1],old variant of 深[shēn]
一,一,一,一,yi1,yī,"one/1/single/a (article)/as soon as/entire/whole/all/throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit","one/1/single/a (article)/as soon as/entire/whole/all/throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yāo] for greater clarity when spelling out numbers digit by digit"
丁,丁,丁,丁,Ding1,Dīng,surname Ding,surname Ding
丁,丁,丁,丁,ding1,dīng,"fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/fourth in order/letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 195°/butyl/cubes (of food)","fourth of the ten Heavenly Stems 十天干[shí tiān gān]/fourth in order/letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc/ancient Chinese compass point: 195°/butyl/cubes (of food)"
上,上,上,上,shang3,shǎng,see 上聲|上声[shang3 sheng1],see 上聲|上声[shǎng shēng]
上,上,上,上,shang4,shàng,on top/upon/above/upper/previous/first (of multiple parts)/to climb/to get onto/to go up/to attend (class or university),on top/upon/above/upper/previous/first (of multiple parts)/to climb/to get onto/to go up/to attend (class or university)
下,下,下,下,xia4,xià,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action","down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action"
不,不,不,不,bu4,bù,(negative prefix)/not/no,(negative prefix)/not/no
世,世,世,世,Shi4,Shì,surname Shi,surname Shi
世,世,世,世,shi4,shì,life/age/generation/era/world/lifetime/epoch/descendant/noble,life/age/generation/era/world/lifetime/epoch/descendant/noble
中,中,中,中,Zhong1,Zhōng,China/Chinese/surname Zhong,China/Chinese/surname Zhong
中,中,中,中,zhong1,zhōng,within/among/in/middle/center/while (doing sth)/during/(dialect) OK/all right,within/among/in/middle/center/while (doing sth)/during/(dialect) OK/all right
中,中,中,中,zhong4,zhòng,"to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)","to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)"
之,之,之,之,zhi1,zhī,"(possessive particle, literary equivalent of 的[de5])/him/her/it","(possessive particle, literary equivalent of 的[de])/him/her/it"
乎,乎,乎,乎,hu1,hū,"(classical particle similar to 於|于[yu2]) in/at/from/because/than/(classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)","(classical particle similar to 於|于[yú]) in/at/from/because/than/(classical final particle similar to 嗎|吗[ma], 吧[ba], 呢[ne], expressing question, doubt or astonishment)"
乖,乖,乖,乖,guai1,guāi,"(of a child) obedient, well-behaved/clever/shrewd/alert/perverse/contrary to reason/irregular/abnormal","(of a child) obedient, well-behaved/clever/shrewd/alert/perverse/contrary to reason/irregular/abnormal"
亂,乱,亂,乱,luan4,luàn,in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary,in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary
云,云,云,云,yun2,yún,(classical) to say,(classical) to say
人,人,人,人,ren2,rén,"man/person/people/CL:個|个[ge4],位[wei4]","man/person/people/CL:個|个[gè],位[wèi]"
仁,仁,仁,仁,ren2,rén,humane/kernel,humane/kernel
仇,仇,仇,仇,Qiu2,Qiú,surname Qiu,surname Qiu
仇,仇,仇,仇,chou2,chóu,"hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)","hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)"
仇,仇,仇,仇,qiu2,qiú,spouse/companion,spouse/companion
仝,同,仝,同,tong2,tóng,(used in given names)/variant of 同[tong2],(used in given names)/variant of 同[tóng]
仰,仰,仰,仰,Yang3,Yǎng,surname Yang,surname Yang
仰,仰,仰,仰,yang3,yǎng,to face upward/to look up/to admire/to rely on,to face upward/to look up/to admire/to rely on
伐,伐,伐,伐,fa2,fá,to cut down/to fell/to dispatch an expedition against/to attack/to boast/Taiwan pr. [fa1],to cut down/to fell/to dispatch an expedition against/to attack/to boast/Taiwan pr. [fā]
休,休,休,休,Xiu1,Xiū,surname Xiu,surname Xiu
休,休,休,休,xiu1,xiū,to rest/to stop doing sth for a period of time/to cease/(imperative) don't,to rest/to stop doing sth for a period of time/to cease/(imperative) don't
伯,伯,伯,伯,ba4,bà,variant of 霸[ba4],variant of 霸[bà]
伯,伯,伯,伯,bai3,bǎi,one hundred (old),one hundred (old)
伯,伯,伯,伯,bo2,bó,"father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address/Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]","father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address/Count, third of five orders of nobility 五等爵位[wǔ děng jué wèi]"
何,何,何,何,He2,Hé,surname He,surname He
何,何,何,何,he2,hé,what/how/why/which/carry,what/how/why/which/carry
作,作,作,作,zuo1,zuō,worker/workshop/(slang) troublesome/high-maintenance (person),worker/workshop/(slang) troublesome/high-maintenance (person)
作,作,作,作,zuo4,zuò,to do/to grow/to write or compose/to pretend/to regard as/to feel/writings or works,to do/to grow/to write or compose/to pretend/to regard as/to feel/writings or works
佞,佞,佞,佞,ning4,nìng,to flatter/flattery,to flatter/flattery
俛,俯,俛,俯,fu3,fǔ,variant of 俯[fu3],variant of 俯[fǔ]
俯,俯,俯,俯,fu3,fǔ,to look down/to stoop,to look down/to stoop
俻,备,俻,备,bei4,bèi,variant of 備|备[bei4],variant of 備|备[bèi]
